Event	Zone	Confidence	Start	End
44S	ZII	2	2022-08-17T16:17:30	2022-08-17T16:25:00

45S	Dif	2	2022-09-29T18:19:30	2022-09-29T18:29:55
45S	ZI	2	2022-09-29T18:29:55	2022-09-29T18:31:32
45S	ZII	2	2022-09-29T18:31:32	2022-09-29T18:39:00

46N	Dif	3	2022-11-06T20:42:29	2022-11-06T20:50:23
46N	ZI	3	2022-11-06T20:50:23	2022-11-06T20:51:33
46N	ZII	3	2022-11-06T20:51:33	2022-11-06T20:59:50

50S	Dif	2	2023-04-08T09:36:28	2023-04-08T09:42:11
50S	ZI	2	2023-04-08T09:42:11	2023-04-08T09:42:54
50S	ZII	2	2023-04-08T09:42:54	2023-04-08T09:52:00

55S	Dif	1	2023-10-15T12:42:10	2023-10-15T12:53:06
55S	ZI	1	2023-10-15T12:53:06	2023-10-15T12:55:22

57S	Dif	0	2023-12-30T14:21:53	2023-12-30T14:30:01
57S	ZI	0	2023-12-30T14:30:01	2023-12-30T14:35:08
57S	ZII	0	2023-12-30T14:35:08	2023-12-30T14:36:00

58N	Dif	3	2024-02-03T21:17:00	2024-02-03T21:21:37
58N	ZI	3	2024-02-03T21:21:37	2024-02-03T21:21:58
58N	ZII	2	2024-02-03T21:21:58	2024-02-03T21:24:29
58N	ZI	2	2024-02-03T21:24:29	2024-02-03T21:26:43
58N	ZII	2	2024-02-03T21:26:43	2024-02-03T21:30:06

58S	Dif	2	2024-02-03T23:04:01	2024-02-03T23:09:44
58S	ZI	2	2024-02-03T23:09:44	2024-02-03T23:12:34
58S	ZII	1	2024-02-03T23:12:34	2024-02-03T23:17:02

60S	Dif	1	2024-04-09T10:25:58	2024-04-09T10:33:59
60S	ZI	1	2024-04-09T10:33:59	2024-04-09T10:38:49
60S	ZII	1	2024-04-09T10:38:49	2024-04-09T10:42:00
